date,open,close,high,low,volume
2009/1/9,2423.73,2469.13,2478.72,2423.73,225682600
2009/1/12,2463.78,2488,2502.35,2445.8,250945000
2009/1/13,2457.99,2407.01,2466.37,2397.39,200387800
2009/1/14,2398.94,2463.77,2467.62,2395.19,206442000
2009/1/15,2443.87,2456.65,2476.42,2433.32,247629400
2009/1/16,2468.7,2506.71,2535.98,2468.7,373641700
2009/1/19,2523.25,2489.74,2535.9,2461.82,286700600
2009/1/20,2486.19,2506.13,2509.15,2459.34,204343700
2009/1/21,2475.89,2487.05,2510.93,2466.64,221448200
2009/1/22,2500,2501.09,2516.13,2473.34,257774100
2009/1/23,2493.2,2499.35,2519.84,2488.35,268396300
2009/2/2,2541.22,2569.92,2571.03,2527.45,379472100
2009/2/3,2578,2636.2,2642.33,2565.81,626669900
2009/2/4,2641.11,2700.73,2701.13,2631.94,569577700
2009/2/5,2694.63,2674.16,2708.83,2660.69,541669400
2009/2/6,2681.14,2779.23,2787.08,2681.14,594171500
2009/2/9,2815.3,2874.59,2874.86,2781.43,696973600
2009/2/10,2857.99,2912.51,2914.27,2822.35,541980200
2009/2/11,2866.57,2918.21,2989.55,2849.32,657900000
2009/2/12,2912.87,2940.4,2941.13,2838.01,506268300
2009/2/13,2933.76,3024.63,3034.5,2929.87,619335000
2009/2/16,3058.76,3064.77,3080.63,3004.53,580954200
2009/2/17,3059.64,2988.45,3080.29,2984.18,514857000
2009/2/18,2928.2,2884.36,2972.33,2882.05,429687500
2009/2/19,2897.14,2932.61,2937.16,2879.53,371926900
2009/2/20,2935.77,3017,3018.14,2917.12,377639700
2009/2/23,3010.94,3131.68,3141.18,2993.73,491850800
2009/2/24,3103.13,3038.54,3166.32,3021.73,541797700
2009/2/25,3065.84,3046.62,3086.44,2965.45,437285000
2009/2/26,3039.51,2859.6,3082.93,2831.76,442490100
2009/2/27,2832.14,2750.94,2868.68,2714.49,354291200
2009/3/2,2733.32,2816.59,2831.02,2718.45,234033200
